pressurec2,energy_densityc2,baryon_density,cs2c2
1.081603630310702393e+12,1.562728782944160625e+14,1.545832976709388750e+14,1.463392181841512672e-02
1.117110650504820801e+12,1.586725054597164062e+14,1.569404005552410000e+14,1.496837257540111280e-02
1.153783299629645752e+12,1.610945086354573125e+14,1.593189456932819375e+14,1.532559956741219587e-02
1.191659843098548584e+12,1.635363832964322188e+14,1.617164549478488125e+14,1.570723692803405874e-02
1.230779802506659424e+12,1.659960395758801875e+14,1.641308584704370000e+14,1.611388767220804652e-02
1.271183996869009521e+12,1.684711130942528750e+14,1.665598180222419375e+14,1.654913477422721019e-02
1.312914585212451172e+12,1.709587828761270312e+14,1.690005486174702500e+14,1.701350715701879790e-02
1.356015110565624756e+12,1.734569227460941875e+14,1.714509483943388438e+14,1.750882489922132162e-02
1.400530545393216797e+12,1.759626632965758750e+14,1.739081877862158438e+14,1.803890155613916552e-02
1.446507338521628418e+12,1.784732790976460000e+14,1.763695801151845938e+14,1.860491193158261836e-02
1.493993463605245117e+12,1.809861538108195000e+14,1.788325473087604375e+14,1.920917306946973158e-02
1.543038469183558105e+12,1.834985565943934688e+14,1.812944007467722812e+14,1.985352632754326663e-02
1.593693530381752197e+12,1.860080330113279062e+14,1.837527243777384375e+14,2.053949629226490062e-02
1.646011502308533936e+12,1.885121566006258750e+14,1.862051311865950000e+14,2.126927572739795505e-02
1.700046975206707275e+12,1.910086355041033438e+14,1.886493676177985625e+14,2.204187804820545438e-02
1.755856331414440430e+12,1.934959469207276562e+14,1.910839344871048750e+14,2.285519119412871697e-02
1.813497804196473877e+12,1.959729104448941875e+14,1.935076686768620000e+14,2.370635750534713648e-02
1.873031538506422607e+12,1.984391168138723438e+14,1.959201621912864688e+14,2.458903146489658381e-02
1.934519653744038330e+12,2.008950663223172188e+14,1.983218966401004375e+14,2.549720424465762650e-02
1.998026308572522705e+12,2.033417444685770625e+14,2.007138272979738438e+14,2.642223109895354763e-02
2.063617767863838867e+12,2.057812834250403438e+14,2.030980289582115000e+14,2.735385271639760238e-02
2.131362471841426514e+12,2.082163887159248125e+14,2.054771343262440312e+14,2.828174822406566424e-02
2.201331107492997070e+12,2.106506472400435312e+14,2.078546340530169062e+14,2.919497892541240286e-02
2.273596682327690918e+12,2.130881602939422812e+14,2.102345171871537188e+14,3.008373133978637856e-02
2.348234600554258789e+12,2.155335716813085312e+14,2.126212977907176562e+14,3.093909284265328186e-02
2.425322741760345703e+12,2.179918366860896250e+14,2.150197886330207812e+14,3.175507654933778373e-02
2.504941542174470215e+12,2.204679863049543125e+14,2.174348706182663125e+14,3.252717455346428727e-02
2.587174078595898926e+12,2.229671863180603438e+14,2.198715500644641250e+14,3.325286620404751398e-02
2.672106155079421387e+12,2.254944668301419688e+14,2.223346946965470312e+14,3.393191328408427798e-02
2.759826392466139160e+12,2.280547470883587500e+14,2.248290577956636250e+14,3.456597198254260372e-02
2.850426320853404297e+12,2.306526360106856250e+14,2.273590838746014688e+14,3.515848960449721727e-02
2.944000475100015137e+12,2.332924597859809062e+14,2.299289357906245000e+14,3.571429564712867710e-02
3.040646493467059570e+12,2.359781078012667188e+14,2.325423450357005938e+14,3.623917470314064193e-02
3.140465219496711914e+12,2.387131003390390625e+14,2.352026780668997500e+14,3.673906187466578765e-02
3.243560807235784180e+12,2.415005316655352812e+14,2.379128813713257812e+14,3.722010033171068571e-02
3.350040829913119141e+12,2.443431099154015312e+14,2.406755207484142500e+14,3.768810529779996477e-02
3.460016392185060547e+12,2.472431652007384062e+14,2.434927896692892188e+14,3.814878732361236952e-02
3.573602246065750488e+12,2.502026453872925000e+14,2.463665056708896562e+14,3.860744915319035131e-02
3.690916910662755371e+12,2.532231642083774375e+14,2.492981575851354062e+14,3.906920314842037001e-02
3.812082795843880859e+12,2.563059593318727500e+14,2.522888653315957500e+14,3.953937143639914276e-02
3.937226329963433105e+12,2.594518769945837812e+14,2.553393655931716250e+14,4.002355618117818536e-02
4.066478091781823730e+12,2.626613165724355938e+14,2.584499587267481250e+14,4.052830072110263221e-02
4.199972946715289062e+12,2.659341095285827500e+14,2.616203922672308125e+14,4.106169670078733958e-02
4.337850187558928711e+12,2.692693664063509688e+14,2.648497138215476875e+14,4.163372985168314888e-02
4.480253679829447266e+12,2.726653027094131875e+14,2.681361039569387812e+14,4.225655415569323781e-02
4.627332011878665039e+12,2.761190529922778750e+14,2.714766981866763750e+14,4.294537282351988672e-02
4.779238649935590820e+12,2.796263801756020312e+14,2.748673082236418125e+14,4.371692858619855016e-02
4.936132098237859375e+12,2.831817818044655625e+14,2.783025276181533438e+14,4.458948244068752093e-02
5.098176064420387695e+12,2.867782749228258750e+14,2.817755268915524375e+14,4.558352019065798483e-02
