pressurec2,energy_densityc2,baryon_density,cs2c2
2.111783044448222266e+13,4.165280118476893125e+14,4.054988425533574375e+14,4.321799787988942487e-01
2.181108924191506641e+13,4.180218610326768125e+14,4.068818691552409375e+14,5.892345971856081110e-01
2.252710642645976562e+13,4.190783257236706250e+14,4.078583930705921250e+14,7.761148629278297184e-01
2.326662911331431250e+13,4.199417428106329375e+14,4.086551627153275000e+14,8.816223829715718052e-01
2.403042894406950000e+13,4.207846573485330625e+14,4.094316943814637500e+14,8.852214179330910593e-01
2.481930289186245703e+13,4.216992706074946250e+14,4.102728090564370625e+14,7.913314322566070702e-01
2.563407409296480078e+13,4.228618318336833125e+14,4.113400287199191250e+14,6.070674373052771244e-01
2.647559270567041797e+13,4.246941195512041875e+14,4.130189488659086875e+14,3.926383093243052680e-01
2.734473679737566406e+13,4.278027909202306250e+14,4.158620242798695000e+14,2.438644988966195415e-01
2.824241326078431250e+13,4.325423417144017500e+14,4.201882427659475625e+14,1.742251082714258992e-01
2.916955876018762500e+13,4.385207549223155625e+14,4.256344944804755000e+14,1.569481578128046062e-01
3.012714070881142969e+13,4.445497330262555625e+14,4.311157557263775000e+14,1.812617726771792170e-01
3.111615827824351172e+13,4.495025110663556250e+14,4.356093606264666250e+14,2.419312948737481483e-01
3.213764344100235156e+13,4.532338837727590000e+14,4.389877206529126250e+14,3.104168461351993757e-01
3.319266204733158984e+13,4.563293253211452500e+14,4.417843231698765000e+14,3.437972351729157161e-01
3.428231493733953906e+13,4.594712622531466250e+14,4.446167215208785625e+14,3.226890213799379348e-01
3.540773908965267969e+13,4.633093606171561250e+14,4.480689469488771250e+14,2.649310175319793403e-01
3.657010880777451562e+13,4.684249706833084375e+14,4.526597102302200625e+14,2.087448302421666679e-01
3.777063694539342188e+13,4.749019600679848750e+14,4.584586041441016875e+14,1.817461127720163827e-01
3.901057617190982812e+13,4.818732299337736875e+14,4.646851966130153750e+14,1.930858073374985828e-01
4.029122027951297656e+13,4.880713183811323125e+14,4.702078191747672500e+14,2.425691361009715274e-01
4.161390553316672656e+13,4.929540605350031875e+14,4.745477328064737500e+14,3.154625272153486204e-01
4.298001206490778125e+13,4.968461876895775625e+14,4.779984694187510000e+14,3.834711044511853739e-01
4.439096531392168750e+13,5.002704513601309375e+14,4.810266014642116250e+14,4.331636611664662073e-01
4.584823751389048438e+13,5.034873675900461250e+14,4.838638923056410625e+14,4.861081737560000171e-01
4.735334922917088281e+13,5.064035785515881250e+14,4.864290378169433750e+14,5.820058453059621106e-01
4.890787094139582031e+13,5.088434569593708750e+14,4.885692722670343750e+14,7.198877198530790888e-01
5.051342468816703125e+13,5.108785948251580000e+14,4.903494223303402500e+14,8.438953996607156949e-01
5.217168575554307031e+13,5.127334638274599375e+14,4.919671804521136875e+14,9.161423729599731391e-01
5.388438442608203125e+13,5.145594929299443125e+14,4.935550409518468750e+14,9.453605285049611062e-01
5.565330778427570312e+13,5.164158348165506875e+14,4.951643251456327500e+14,9.571944752684766744e-01
5.748030158125297656e+13,5.183158232110380625e+14,4.968062788822750625e+14,9.668016222237684199e-01
5.936727216069091406e+13,5.202568823210177500e+14,4.984783249397453750e+14,9.771236987303201227e-01
6.131618844795678906e+13,5.222410700740826875e+14,5.001818766758190000e+14,9.850335027163860113e-01
6.332908400455042188e+13,5.242785812304595625e+14,5.019252824666437500e+14,9.884143650087220401e-01
6.540805914998207031e+13,5.263808374179055000e+14,5.037178361285779375e+14,9.874017283856330041e-01
6.755528315331621875e+13,5.285589408589572500e+14,5.055684442811809375e+14,9.817267208508402287e-01
6.977299649665443750e+13,5.308277941689456875e+14,5.074891134266987500e+14,9.680792816422227887e-01
7.206351321292985938e+13,5.332182415518128750e+14,5.095051369527259375e+14,9.360301040819356544e-01
7.442922330043721875e+13,5.358122888346888125e+14,5.116844726000599375e+14,8.702169596244757610e-01
7.687259521663615625e+13,5.387833580973501250e+14,5.141707416537133125e+14,7.803089424304185950e-01
7.939617845382193750e+13,5.422334928593265625e+14,5.170462851913475000e+14,7.249562988036282185e-01
8.200260619934073438e+13,5.458629553329988125e+14,5.200588365710415625e+14,7.564216865918125254e-01
8.469459808314562500e+13,5.492607806385536875e+14,5.228672484572355000e+14,8.384915715097684963e-01
8.747496301554306250e+13,5.524152547333560000e+14,5.254632942361405625e+14,9.010558174247571550e-01
9.034660211810451562e+13,5.555349358037555625e+14,5.280193936846496875e+14,9.107867106205491670e-01
9.331251175078206250e+13,5.588284091732470000e+14,5.307057239682203125e+14,8.433317450845624341e-01
9.637578663840948438e+13,5.627828569394362500e+14,5.339163084577447500e+14,6.605057731240928653e-01
9.953962309984131250e+13,5.696090208810747500e+14,5.394323214256826250e+14,3.867104313478539890e-01
1.028073223830858750e+14,5.890375675808190000e+14,5.550568258340236250e+14,1.409251318347814197e-01
1.061822941099381875e+14,6.500214609779351250e+14,6.038644542415020000e+14,4.617858933676377564e-02
1.096680598336855000e+14,7.833394331369253750e+14,7.100653425656326250e+14,2.441109869270226274e-02
1.132682567136144688e+14,9.447043170731923750e+14,8.380979300921271250e+14,3.121725728118573961e-02
1.169866413101302656e+14,1.045761175440934000e+15,9.180120297337028750e+14,9.524659226844825466e-02
1.208270935044759531e+14,1.079265490943694375e+15,9.444211667369401250e+14,3.516491409291408465e-01
1.247936205471298750e+14,1.088739546141300750e+15,9.518645982688607500e+14,6.567711285328522441e-01
1.288903612390885312e+14,1.093941693007025500e+15,9.559381781051350000e+14,8.480432846346610543e-01
1.331215902504305781e+14,1.098629554514052375e+15,9.595965642430508750e+14,9.029334082326675448e-01
1.374917225806403594e+14,1.103467597410541875e+15,9.633589932070135000e+14,8.771017022675882124e-01
1.420053181653671875e+14,1.108788313582773625e+15,9.674820037225436250e+14,8.049109778710852314e-01
