R [km],M [Msun],P_div_c2 [g/cm^3]
1.223997959183673423e+01,1.894997214719620793e+00,3.561548604112965625e+14
1.221044897959183828e+01,1.899566881243499150e+00,3.639616699785850625e+14
1.218175510204081746e+01,1.904058704881490094e+00,3.719396025106114375e+14
1.215157142857143135e+01,1.908513223147649152e+00,3.800924089723274375e+14
1.212379591836734782e+01,1.912891165151058503e+00,3.884239225487311875e+14
1.209495918367347045e+01,1.917238374697121550e+00,3.969380604471015000e+14
1.206089795918367358e+01,1.921577311197234739e+00,4.056388257387507500e+14
1.203769387755102116e+01,1.925821170666951243e+00,4.145303092411348750e+14
1.200865306122449105e+01,1.930107097109603265e+00,4.236166914412193125e+14
1.198085714285714332e+01,1.934344819846254504e+00,4.329022444610115625e+14
1.195240816326530719e+01,1.938397945660441879e+00,4.423913340661777500e+14
1.191997959183673395e+01,1.942553561602064383e+00,4.520884217186809375e+14
1.189261224489796120e+01,1.946734442639987739e+00,4.619980666744097500e+14
1.186846938775510374e+01,1.950737428812867824e+00,4.721249281268036250e+14
1.183281632653061344e+01,1.954900854286500955e+00,4.824737673974493125e+14
1.180489795918367513e+01,1.959037215004452381e+00,4.930494501746951250e+14
1.177795918367347028e+01,1.963157754144439826e+00,5.038569488013440625e+14
1.174838775510204059e+01,1.967311422057077541e+00,5.149013446124916875e+14
1.171977551020408193e+01,1.971472003355716929e+00,5.261878303246013750e+14
1.169042857142857095e+01,1.975535432372504729e+00,5.377217124769445000e+14
1.166046938775510355e+01,1.979696555035199701e+00,5.495084139265756250e+14
1.163367346938775704e+01,1.983739681241109221e+00,5.615534763979776250e+14
1.160444897959183841e+01,1.987720749653248076e+00,5.738625630885940000e+14
1.157757142857142973e+01,1.991420839162010070e+00,5.864414613314962500e+14
1.154889795918367490e+01,1.994660417612159842e+00,5.992960853163815000e+14
1.152548979591836797e+01,1.997320993296805236e+00,6.124324788702517500e+14
1.150338775510204137e+01,1.999281269531558269e+00,6.258568182990053750e+14
1.147975510204081750e+01,2.000607123060265558e+00,6.395754152913532500e+14
1.145759183673469472e+01,2.001309552495083022e+00,6.535947198863627500e+14
1.143653061224489775e+01,2.001688324718033929e+00,6.679213235060485000e+14
1.141259183673469479e+01,2.001659255157205219e+00,6.825619620544636250e+14
1.139036734693877762e+01,2.001504977133345964e+00,6.975235190846818750e+14
1.136934693877551084e+01,2.000987408877497487e+00,7.128130290352425000e+14
1.134448979591836704e+01,2.000321888771584788e+00,7.284376805374930000e+14
1.131793877551020522e+01,1.999536741536660944e+00,7.444048197954698750e+14
1.129236734693877686e+01,1.998566237210782637e+00,7.607219540398370000e+14
1.126797959183673470e+01,1.997405086044089284e+00,7.773967550575325000e+14
1.124289795918367396e+01,1.996249716027828747e+00,7.944370627988156250e+14
1.121659183673469506e+01,1.994892612876375093e+00,8.118508890633313750e+14
1.118851020408163421e+01,1.993371366447285409e+00,8.296464212670252500e+14
1.116130612244898046e+01,1.991701829237191745e+00,8.478320262915732500e+14
1.113787755102040755e+01,1.989877320555579310e+00,8.664162544182421250e+14
1.110983673469387867e+01,1.987982607235920796e+00,8.854078433479437500e+14
1.108377551020408092e+01,1.985917487672578918e+00,9.048157223094082500e+14
1.105522448979592021e+01,1.983830454077217587e+00,9.246490162574420000e+14
