R [km],M [Msun],P_div_c2 [g/cm^3]
1.070167346938775665e+01,1.923569002600512556e+00,1.772066920607405500e+15
1.070400000000000063e+01,1.923785335921391226e+00,1.810910105208894250e+15
1.070795918367346999e+01,1.924092070177158442e+00,1.850604720968216750e+15
1.071032653061224416e+01,1.924544981855028203e+00,1.891169431005417750e+15
1.070793877551020401e+01,1.924904646052402191e+00,1.932623307530601250e+15
1.071069387755102120e+01,1.925305503242358496e+00,1.974985840811119500e+15
1.071281632653061422e+01,1.925600699912491276e+00,2.018276948335240000e+15
1.071638775510204056e+01,1.925940228965167478e+00,2.062516984176679000e+15
1.071665306122449124e+01,1.926371240284385999e+00,2.107726748564482000e+15
1.071742857142857197e+01,1.926738704310008155e+00,2.153927497662550750e+15
1.072187755102040718e+01,1.927055773811461536e+00,2.201140953563669500e+15
1.072553061224489745e+01,1.927370124591203826e+00,2.249389314502458250e+15
1.072824489795918446e+01,1.927690028025573099e+00,2.298695265292324500e+15
1.073073469387755097e+01,1.928046311545174696e+00,2.349081987991099500e+15
1.073200000000000109e+01,1.928251016646506999e+00,2.400573172800461500e+15
1.073628571428571377e+01,1.928558656233504420e+00,2.453193029204365500e+15
1.074146938775510307e+01,1.928677113973486179e+00,2.506966297351479000e+15
1.074353061224489814e+01,1.928941334304254296e+00,2.561918259687278500e+15
1.074983673469387746e+01,1.929160197117628206e+00,2.618074752840950500e+15
1.075097959183673524e+01,1.929221156806331994e+00,2.675462179773011000e+15
1.075769387755102180e+01,1.929262287771104756e+00,2.734107522189088000e+15
1.075895918367347015e+01,1.929307255820549516e+00,2.794038353225811000e+15
1.076428571428571423e+01,1.929382941751133007e+00,2.855282850414884500e+15
1.076877551020408141e+01,1.929372153369847354e+00,2.917869808931153500e+15
1.077195918367347005e+01,1.929233234623422444e+00,2.981828655131259000e+15
