R [km],M [Msun],P_div_c2 [g/cm^3]
1.131281224489795932e+04,4.756281988790918014e-01,4.252346334528682092e+01
1.124299183673469452e+04,4.827822153449828901e-01,4.381689931514190306e+01
1.117492857142857247e+04,4.906626678366388661e-01,4.514967772036101934e+01
1.110966122448979695e+04,4.993071395145589619e-01,4.652299523960189020e+01
1.104629795918367563e+04,5.087537197888056806e-01,4.793808495089106714e+01
1.098486326530612314e+04,5.190192381505063235e-01,4.939621743878320359e+01
1.092734897959183763e+04,5.301477182517009279e-01,5.089870193519679731e+01
1.087175306122449001e+04,5.421734977325951554e-01,5.244688749495119140e+01
1.082140612244897966e+04,5.551075914426316649e-01,5.404216420705915169e+01
1.077297346938775627e+04,5.689989672330479920e-01,5.568596444286414737e+01
1.072988367346938867e+04,5.839236925846316151e-01,5.737976414214134024e+01
1.069058571428571486e+04,5.998334510610799919e-01,5.912508413831875487e+01
1.065541020408163422e+04,6.168376645577936523e-01,6.092349152400711887e+01
1.062486938775510316e+04,6.349594788253934974e-01,6.277660105806499757e+01
1.059831632653061388e+04,6.542197839347939636e-01,6.468607661546327847e+01
1.057727959183673556e+04,6.746595408361237833e-01,6.665363268124913532e+01
1.057399591836734726e+04,6.753153395768893841e-01,6.868103588995300868e+01
1.057483469387755213e+04,6.696838509011139307e-01,7.077010661181888906e+01
1.057276122448979731e+04,6.644287354197864204e-01,7.292272058728312345e+01
1.056948571428571631e+04,6.595296118339589730e-01,7.514081061116969806e+01
1.056391428571428696e+04,6.548719422859544670e-01,7.742636826811269657e+01
1.055547959183673629e+04,6.504677329177596112e-01,7.978144572076621444e+01
1.054644285714285797e+04,6.462968775028540280e-01,8.220815755240541023e+01
1.053437755102040865e+04,6.423813586500134454e-01,8.470868266557401682e+01
1.052036530612244860e+04,6.386973217032112515e-01,8.728526623848379984e+01
1.050338775510204141e+04,6.352257571816725124e-01,8.994022174092043542e+01
1.048500612244898002e+04,6.320356364033689056e-01,9.267593301146882823e+01
1.046471836734693898e+04,6.290967658576940291e-01,9.549485639791966207e+01
1.044050816326530730e+04,6.263942054805353710e-01,9.839952296278225674e+01
1.041409591836734762e+04,6.239908923423564957e-01,1.013925407558815266e+02
1.038491836734693970e+04,6.218808972889219300e-01,1.044765971560804161e+02
1.035395306122449074e+04,6.200987728862649151e-01,1.076544612842315871e+02
1.031957346938775663e+04,6.186683909209963472e-01,1.109289864895222735e+02
1.028199591836734726e+04,6.175605050553729658e-01,1.143031129114478688e+02
1.024188367346938867e+04,6.168643922103584920e-01,1.177798701197119300e+02
1.019896122448979622e+04,6.165470635424104007e-01,1.213623798344240470e+02
1.015408163265306212e+04,6.166830871787793988e-01,1.250538587290391348e+02
1.010560204081632764e+04,6.173074070073210073e-01,1.288576213185517929e+02
1.005572244897959354e+04,6.184481064548073004e-01,1.327770829355428930e+02
1.000245714285714348e+04,6.201065365070069779e-01,1.368157627967471797e+02
9.947510204081634583e+03,6.222964001428251679e-01,1.409772871628966300e+02
9.890130612244898657e+03,6.251731358604835087e-01,1.452653925946781328e+02
9.832165306122449692e+03,6.286959566133649702e-01,1.496839293077255491e+02
9.772573469387756631e+03,6.328955601235606299e-01,1.542368646296627333e+02
9.711404081632654197e+03,6.378830322955602039e-01,1.589282865622977852e+02
9.649967346938776245e+03,6.436229229089551751e-01,1.637624074521687305e+02
9.588746938775511808e+03,6.502062093193494707e-01,1.687435677727375776e+02
9.526055102040816564e+03,6.576441945589028837e-01,1.738762400216250512e+02
9.464500000000000000e+03,6.660413176969969262e-01,1.791650327363901454e+02
9.403542857142858338e+03,6.753645158755101630e-01,1.846146946324547571e+02
9.343257142857142753e+03,6.856856325130457064e-01,1.902301188668943723e+02
9.284289795918368327e+03,6.970322341319024062e-01,1.960163474319185752e+02
9.227681632653062479e+03,7.095085050612139899e-01,2.019785756819878486e+02
